City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,71.46,mist,-22.9661,-42.0278,Pousada Porto Praia
1,Cape Town,ZA,67.08,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
4,Bredasdorp,ZA,63.72,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
7,Chuy,UY,68.36,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
13,Ponta Do Sol,PT,66.83,scattered clouds,32.6667,-17.1,Hotel do Campo
15,Butaritari,KI,82.0,broken clouds,3.0707,172.7902,Isles Sunset Lodge
16,Gorontalo,ID,74.25,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
18,Tuatapere,NZ,60.82,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
19,Port Alfred,ZA,70.97,clear sky,-33.5906,26.891,The Halyards Hotel
23,Charters Towers,AU,78.12,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
25,Puri,IN,66.72,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
26,Hermanus,ZA,64.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Machali,CL,88.88,clear sky,-34.1833,-70.6667,Mining House
29,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
31,Maxixe,MZ,71.64,clear sky,-23.8597,35.3472,Oceano
32,Almeirim,BR,78.49,broken clouds,-1.5233,-52.5817,Ricácio Hotel
33,Moron,AR,76.93,clear sky,-34.6534,-58.6198,Hotel Morón
35,Vanimo,PG,80.4,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
36,Rikitea,PF,78.91,broken clouds,-23.1203,-134.9692,People ThankYou
39,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
40,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
44,Kolokani,ML,70.2,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
45,Hobart,AU,67.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
47,Koster,ZA,66.58,broken clouds,-25.863000000000003,26.8976,Klub Kranskuil
49,Alta Floresta,BR,73.58,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
