City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,94,75,6.91,mist
1,Cape Town,ZA,-33.9258,18.4232,67.08,81,0,3.44,clear sky
2,Souillac,MU,-20.5167,57.5167,75.58,88,75,4.61,broken clouds
3,Albany,US,42.6001,-73.9662,35.1,70,48,11.12,scattered clouds
4,Bredasdorp,ZA,-34.5322,20.0403,63.72,82,36,6.91,scattered clouds
5,Buraydah,SA,26.326,43.975,55.85,35,0,8.37,clear sky
6,Clyde River,CA,70.4692,-68.5914,-25.37,68,75,0.0,broken clouds
7,Chuy,UY,-33.6971,-53.4616,68.36,64,11,7.83,few clouds
8,Margate,GB,51.3813,1.3862,49.96,78,96,5.01,overcast clouds
9,Norman Wells,CA,65.282,-126.8329,-27.36,62,75,3.44,broken clouds
10,Provideniya,RU,64.3833,-173.3,-3.89,65,0,24.61,clear sky
11,Kaitangata,NZ,-46.2817,169.8464,59.14,85,100,9.91,overcast clouds
12,Busselton,AU,-33.65,115.3333,52.05,76,3,6.11,clear sky
13,Ponta Do Sol,PT,32.6667,-17.1,66.83,48,40,10.4,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,57.31,41,75,13.8,broken clouds
15,Butaritari,KI,3.0707,172.7902,82.0,77,71,13.85,broken clouds
16,Gorontalo,ID,0.5412,123.0595,74.25,93,100,3.18,overcast clouds
17,Portland,US,45.5234,-122.6762,56.61,79,80,3.0,broken clouds
18,Tuatapere,NZ,-46.1333,167.6833,60.82,65,93,4.18,light rain
19,Port Alfred,ZA,-33.5906,26.891,70.97,88,6,9.22,clear sky
20,Nikolskoye,RU,59.7035,30.7861,28.8,96,100,4.81,light snow
21,Karasjok,NO,69.4719,25.5112,24.91,96,100,6.06,overcast clouds
22,Jamestown,US,42.097,-79.2353,27.09,54,100,10.0,overcast clouds
23,Charters Towers,AU,-20.1,146.2667,78.12,65,7,9.1,clear sky
24,Ostrovnoy,RU,68.0531,39.5131,13.87,88,48,18.39,scattered clouds
25,Puri,IN,19.8,85.85,66.72,71,33,4.59,scattered clouds
26,Hermanus,ZA,-34.4187,19.2345,64.9,86,65,7.18,broken clouds
27,Machali,CL,-34.1833,-70.6667,88.88,23,0,7.23,clear sky
28,Hofn,IS,64.2539,-15.2082,28.89,63,88,16.71,overcast clouds
29,Salalah,OM,17.0151,54.0924,71.69,18,0,13.8,clear sky
30,Xinan,CN,26.72,119.8556,46.58,90,100,0.94,overcast clouds
31,Maxixe,MZ,-23.8597,35.3472,71.64,92,0,5.1,clear sky
32,Almeirim,BR,-1.5233,-52.5817,78.49,85,67,3.18,broken clouds
33,Moron,AR,-34.6534,-58.6198,76.93,57,0,7.43,clear sky
34,Torbay,CA,47.6666,-52.7314,29.26,83,100,17.27,overcast clouds
35,Vanimo,PG,-2.6741,141.3028,80.4,84,82,3.6,broken clouds
36,Rikitea,PF,-23.1203,-134.9692,78.91,71,77,12.03,broken clouds
37,Lagoa,PT,39.05,-27.9833,59.58,73,89,14.38,overcast clouds
38,Saskylakh,RU,71.9167,114.0833,2.62,84,100,14.5,overcast clouds
39,Acapulco,MX,16.8634,-99.8901,84.02,65,40,8.05,scattered clouds
40,Vaini,TO,-21.2,-175.2,84.36,89,40,13.8,scattered clouds
41,Thompson,CA,55.7435,-97.8558,17.76,79,100,13.8,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,53.26,54,40,16.11,scattered clouds
43,Chara,RU,56.9064,118.2631,-9.83,97,100,0.74,overcast clouds
44,Kolokani,ML,13.5728,-8.0339,70.2,12,0,9.78,clear sky
45,Hobart,AU,-42.8794,147.3294,67.26,70,20,9.22,few clouds
46,Yashan,CN,22.1975,109.9419,50.92,89,100,6.91,overcast clouds
47,Koster,ZA,-25.863,26.8976,66.58,53,66,2.48,broken clouds
48,Tura,IN,25.5198,90.2201,53.06,73,2,3.2,clear sky
49,Alta Floresta,BR,-9.8756,-56.0861,73.58,94,99,2.55,light rain
50,Palmer,US,42.1584,-72.3287,37.08,69,75,8.05,broken clouds
51,Korla,CN,41.7597,86.1469,22.73,54,70,1.86,broken clouds
52,Hilo,US,19.7297,-155.09,78.24,73,100,8.01,overcast clouds
53,Tuktoyaktuk,CA,69.4541,-133.0374,-40.0,67,20,3.44,mist
54,New Norfolk,AU,-42.7826,147.0587,66.92,67,64,3.47,broken clouds
55,Sinazongwe,ZM,-17.2614,27.4618,73.65,78,9,4.12,clear sky
56,Zhigansk,RU,66.7697,123.3711,-42.09,100,98,1.74,overcast clouds
57,Diego De Almagro,CL,-26.3667,-70.05,72.05,33,0,8.3,clear sky
58,Tazovskiy,RU,67.4667,78.7,-3.12,82,100,15.59,overcast clouds
59,Kodiak,US,57.79,-152.4072,26.11,59,0,13.8,clear sky
60,East London,ZA,-33.0153,27.9116,73.99,87,4,4.5,clear sky
61,Meulaboh,ID,4.1363,96.1285,75.11,89,87,4.65,overcast clouds
62,Port Lincoln,AU,-34.7333,135.8667,66.51,69,100,10.38,overcast clouds
63,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,54,0,8.05,clear sky
64,Castro,BR,-24.7911,-50.0119,65.17,87,72,5.23,broken clouds
65,Laguna De Perlas,NI,12.3429,-83.6712,82.49,74,17,11.97,few clouds
66,Tiksi,RU,71.6872,128.8694,-18.42,98,79,9.08,broken clouds
67,Pasni,PK,25.2631,63.471,69.69,52,0,10.56,clear sky
68,Omaruru,NA,-21.4333,15.9333,71.85,70,91,9.89,overcast clouds
69,Coari,BR,-4.085,-63.1414,74.52,96,100,3.11,overcast clouds
70,Pisco,PE,-13.7,-76.2167,73.02,73,0,10.36,clear sky
71,Fayaoue,NC,-20.65,166.5333,81.86,88,100,28.68,overcast clouds
72,Okha,RU,53.5739,142.9478,16.38,93,100,17.83,light snow
73,Zhanakorgan,KZ,43.9098,67.2495,31.05,94,100,5.75,snow
74,Bridlington,GB,54.0831,-0.1919,52.9,89,100,11.01,overcast clouds
75,Maryville,US,35.7565,-83.9705,52.61,45,0,5.75,clear sky
76,Magistralnyy,RU,56.1725,107.4458,-6.54,98,100,2.91,overcast clouds
77,Amahai,ID,-3.3333,128.9167,80.13,79,95,2.91,overcast clouds
78,Almaznyy,RU,48.0448,40.045,37.54,98,100,9.75,moderate rain
79,Mahebourg,MU,-20.4081,57.7,75.49,88,75,4.61,broken clouds
80,Klaksvik,FO,62.2266,-6.589,34.72,67,99,42.79,overcast clouds
81,Sao Filipe,CV,14.8961,-24.4956,72.41,74,2,2.68,clear sky
82,Mataura,NZ,-46.1927,168.8643,60.48,73,100,4.07,light rain
83,Avarua,CK,-21.2078,-159.775,78.85,89,75,11.5,light rain
84,Maniitsoq,GL,65.4167,-52.9,-1.19,89,100,21.43,overcast clouds
85,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,77,98,7.85,overcast clouds
86,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,75,11.5,broken clouds
87,Galesong,ID,-5.3166,119.3661,73.42,82,99,4.68,overcast clouds
88,High Rock,BS,26.6208,-78.2833,75.22,71,28,1.86,scattered clouds
89,Alghero,IT,40.5589,8.3181,37.49,87,0,4.61,clear sky
90,Maragogi,BR,-9.0122,-35.2225,80.06,75,2,10.92,clear sky
91,Ocean City,US,39.2776,-74.5746,41.02,64,9,5.99,clear sky
92,Faanui,PF,-16.4833,-151.75,81.45,77,19,19.15,light rain
93,Bluff,NZ,-46.6,168.3333,60.8,80,95,9.08,overcast clouds
94,Pevek,RU,69.7008,170.3133,-31.83,100,48,4.79,scattered clouds
95,Juneau,US,58.3019,-134.4197,42.8,95,100,18.41,moderate rain
96,Valentin Gomez Farias,MX,28.2167,-106.5833,57.63,14,0,7.58,clear sky
97,Mar Del Plata,AR,-38.0023,-57.5575,68.02,80,0,14.0,clear sky
98,Sangre Grande,TT,10.5835,-61.1177,80.19,77,76,7.34,broken clouds
99,Noumea,NC,-22.2763,166.4572,82.38,99,98,16.46,overcast clouds
100,Kyren,RU,51.6828,102.1408,3.25,98,100,0.65,overcast clouds
101,Balkhash,KZ,46.844,74.9804,15.46,90,100,9.55,overcast clouds
102,Avera,US,33.194,-82.5271,54.72,54,85,2.89,overcast clouds
103,Baykit,RU,61.67,96.37,-24.16,99,10,2.59,clear sky
104,Saint-Joseph,RE,-21.3667,55.6167,75.56,86,84,8.01,broken clouds
105,Maun,BW,-19.9833,23.4167,69.35,44,5,4.41,clear sky
106,Orange Cove,US,36.6244,-119.3137,72.61,34,0,3.2,clear sky
107,Coihaique,CL,-45.5752,-72.0662,63.21,38,12,9.75,few clouds
108,Tilichiki,RU,60.4667,166.1,-16.13,88,11,8.7,few clouds
109,Lewistown,US,40.5992,-77.5714,35.42,79,0,13.8,light intensity drizzle
110,Rocha,UY,-34.4833,-54.3333,62.11,76,2,4.83,clear sky
111,Sur,OM,22.5667,59.5289,69.06,56,0,11.54,clear sky
112,Touros,BR,-5.1989,-35.4608,83.3,70,4,15.48,clear sky
113,Kavaratti,IN,10.5669,72.642,78.66,72,54,14.54,broken clouds
114,Karratha,AU,-20.7377,116.8463,83.05,74,62,3.71,broken clouds
115,Bilma,NE,18.6853,12.9164,64.83,10,0,6.58,clear sky
116,Oistins,BB,13.0667,-59.5333,77.09,69,40,17.27,scattered clouds
117,Qaanaaq,GL,77.484,-69.3632,-14.58,92,100,5.57,overcast clouds
118,Hithadhoo,MV,-0.6,73.0833,82.45,69,100,13.85,overcast clouds
119,Hambantota,LK,6.1241,81.1185,76.15,68,100,11.5,overcast clouds
120,Yabelo,ET,4.8833,38.0833,62.69,33,27,15.93,scattered clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,78.76,75,56,9.28,broken clouds
122,Arkhangelsk,RU,64.5401,40.5433,17.71,92,100,6.71,light snow
123,Jilove,CZ,50.7608,14.1038,46.22,88,100,10.2,overcast clouds
124,Saint-Philippe,RE,-21.3585,55.7679,76.55,87,82,8.63,broken clouds
125,Waingapu,ID,-9.6567,120.2641,79.86,80,99,3.65,overcast clouds
126,Kapaa,US,22.0752,-159.319,80.11,65,40,10.36,scattered clouds
127,Atuona,PF,-9.8,-139.0333,78.62,77,17,15.52,few clouds
128,Tiznit,MA,29.5833,-9.5,63.61,27,2,10.45,clear sky
129,Georgetown,MY,5.4112,100.3354,78.89,90,20,2.3,few clouds
130,Fort Nelson,CA,58.8053,-122.7002,4.59,72,75,2.3,broken clouds
131,Lompoc,US,34.6391,-120.4579,80.78,36,0,13.8,clear sky
132,Baherden,TM,38.4362,57.4316,41.11,50,5,4.52,clear sky
133,Necochea,AR,-38.5473,-58.7368,66.58,68,61,11.59,broken clouds
134,Araouane,ML,18.9048,-3.5265,67.77,10,0,10.76,clear sky
135,Rio Grande,BR,-32.035,-52.0986,71.94,63,18,11.54,few clouds
136,Tasiilaq,GL,65.6145,-37.6368,19.56,81,99,9.24,overcast clouds
137,Chifeng,CN,42.2683,118.9636,18.19,45,92,6.02,overcast clouds
138,Mangrol,IN,21.1167,70.1167,66.36,82,1,10.11,clear sky
139,Iqaluit,CA,63.7506,-68.5145,-0.31,84,100,13.8,light snow
140,Monrovia,LR,6.3005,-10.7969,78.57,83,26,5.39,scattered clouds
141,Codrington,AU,-38.2667,141.9667,69.48,69,92,8.7,overcast clouds
142,Lodwar,KE,3.1191,35.5973,83.19,32,65,6.67,broken clouds
143,Radviliskis,LT,55.8167,23.5333,35.65,93,0,14.97,clear sky
144,Yar-Sale,RU,66.8333,70.8333,-0.15,91,97,15.64,overcast clouds
145,Vostok,RU,46.4856,135.8833,-2.88,99,98,3.33,overcast clouds
146,Kabanjahe,ID,3.1001,98.4908,63.36,97,100,1.81,overcast clouds
147,Yerbogachen,RU,61.2767,108.0108,-25.37,100,100,3.33,overcast clouds
148,Teahupoo,PF,-17.8333,-149.2667,80.56,78,89,18.97,light rain
149,Altamira,BR,-3.2033,-52.2064,74.34,95,88,2.44,overcast clouds
150,Panaba,MX,21.2833,-88.2667,70.95,79,93,18.34,overcast clouds
151,Saldanha,ZA,-33.0117,17.9442,62.65,93,62,6.64,broken clouds
152,Guarapari,BR,-20.6667,-40.4975,80.49,92,55,11.1,broken clouds
153,Bonavista,CA,48.6499,-53.1147,30.11,79,100,19.3,overcast clouds
154,Hue,VN,16.4667,107.6,73.51,94,75,3.44,broken clouds
155,Faya,SA,18.3851,42.4509,51.91,73,15,1.5,few clouds
156,Valparaiso,CL,-33.0393,-71.6273,67.48,78,75,10.36,broken clouds
157,Reporoa,NZ,-38.4333,176.35,71.19,80,100,2.66,overcast clouds
158,Barrow,US,71.2906,-156.7887,-29.18,99,20,8.05,haze
159,Severo-Kurilsk,RU,50.6789,156.125,30.78,93,96,25.68,light snow
160,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.17,96,85,10.58,overcast clouds
161,Sitka,US,57.0531,-135.33,44.49,87,100,17.27,mist
162,Hamilton,US,39.1834,-84.5333,48.42,56,0,10.36,clear sky
163,College,US,64.8569,-147.8028,5.32,72,75,4.61,broken clouds
164,Port Hedland,AU,-20.3167,118.5667,75.25,88,100,8.05,overcast clouds
165,San Joaquin,US,37.9333,-121.3011,74.48,39,0,0.0,clear sky
166,Dakar,SN,14.6937,-17.4441,74.28,72,0,12.66,clear sky
167,Aykhal,RU,66.0,111.5,-17.0,99,82,4.76,broken clouds
168,Saint Anthony,US,45.0205,-93.218,44.62,56,0,17.27,clear sky
169,Lukulu,ZM,-14.3707,23.242,65.71,97,100,2.59,light rain
170,Acari,PE,-15.4311,-74.6158,73.81,75,86,8.01,overcast clouds
171,Namibe,AO,-15.1961,12.1522,73.31,79,100,10.76,overcast clouds
172,Vysokovsk,RU,56.3167,36.55,28.26,97,91,4.74,overcast clouds
173,Yellowknife,CA,62.456,-114.3525,-10.71,76,75,4.61,broken clouds
174,Cabo San Lucas,MX,22.8909,-109.9124,78.62,55,0,8.05,clear sky
175,Zhanaozen,KZ,43.3,52.8,31.3,68,83,13.82,broken clouds
176,Takaungu,KE,-3.6837,39.8566,76.6,86,33,10.07,scattered clouds
177,Innisfail,AU,-17.5333,146.0333,78.87,78,76,2.59,broken clouds
178,Carballo,ES,43.213,-8.691,49.87,71,5,4.38,clear sky
179,Victoria Point,AU,-27.5833,153.3,79.92,67,12,3.0,few clouds
180,Cockburn Town,TC,21.4612,-71.1419,78.76,65,40,17.27,scattered clouds
181,Saint George,US,37.1041,-113.5841,65.95,18,0,5.75,clear sky
182,Tabou,CI,4.423,-7.3528,79.03,86,3,8.9,clear sky
183,Cidreira,BR,-30.1811,-50.2056,71.47,73,37,11.56,scattered clouds
184,Saint-Augustin,CA,51.226,-58.6502,13.12,94,90,12.12,overcast clouds
185,Terrace,CA,54.5163,-128.6035,39.11,93,100,19.57,light rain
186,Gambela,ET,8.25,34.5833,86.04,28,100,3.09,overcast clouds
187,Dikson,RU,73.5069,80.5464,1.71,95,100,22.15,overcast clouds
188,Kindu,CD,-2.95,25.95,71.06,90,82,2.01,broken clouds
189,Bethel,US,41.3712,-73.414,37.02,71,53,5.01,broken clouds
190,Fairbanks,US,64.8378,-147.7164,5.34,72,20,4.61,few clouds
191,Port Hawkesbury,CA,45.6169,-61.3485,37.9,99,100,31.07,moderate rain
192,Soyo,AO,-6.1349,12.3689,77.38,83,54,6.93,broken clouds
193,Xinmin,CN,41.9908,122.8253,10.65,77,5,7.31,clear sky
194,Lavrentiya,RU,65.5833,-171.0,-22.81,93,47,11.72,scattered clouds
195,San Jose,US,37.3394,-121.895,76.44,31,0,9.22,clear sky
196,Saint-Pierre,RE,-21.3393,55.4781,76.64,83,20,4.61,few clouds
197,Yellandu,IN,17.6,80.3333,65.48,95,14,4.43,few clouds
198,Olinda,BR,-8.0089,-34.8553,83.93,65,40,6.91,scattered clouds
199,Moose Factory,CA,51.2585,-80.6094,21.2,63,0,5.75,clear sky
200,Cotonou,BJ,6.3654,2.4183,84.18,84,62,8.05,broken clouds
201,Chitral,PK,35.8462,71.7858,29.57,76,100,4.79,overcast clouds
202,Sioux Lookout,CA,50.1001,-91.917,26.98,93,100,4.61,overcast clouds
203,Vestmannaeyjar,IS,63.4427,-20.2734,34.45,76,100,7.94,light snow
204,Adrar,MR,20.5022,-10.0711,66.99,11,76,10.56,broken clouds
205,Myitkyina,MM,25.3833,97.4,50.77,82,3,3.65,clear sky
206,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,86,75,4.47,broken clouds
207,Tucuman,AR,-26.8241,-65.2226,78.8,65,0,3.44,clear sky
208,Cherskiy,RU,68.75,161.3,-42.38,99,83,4.07,broken clouds
209,Taltal,CL,-25.4,-70.4833,67.55,75,23,5.68,few clouds
210,Guerrero Negro,MX,27.9769,-114.0611,72.37,26,24,10.76,few clouds
211,Kruisfontein,ZA,-34.0033,24.7314,66.25,61,58,7.83,broken clouds
212,Ambatondrazaka,MG,-17.8333,48.4167,67.44,98,96,2.24,overcast clouds
213,Northam,GB,51.0333,-4.2167,50.02,93,100,15.97,overcast clouds
214,Lappeenranta,FI,61.0587,28.1887,30.25,94,100,4.61,snow
215,Ust-Kuyga,RU,70.0167,135.6,-42.3,100,99,8.05,overcast clouds
216,Namie,JP,37.4833,141.0,34.72,77,2,8.77,clear sky
217,Sambava,MG,-14.2667,50.1667,74.84,90,54,2.89,broken clouds
218,Hoi An,VN,15.8794,108.335,75.16,92,29,0.58,scattered clouds
219,Alofi,NU,-19.0595,-169.9187,75.09,94,100,3.44,overcast clouds
220,Broome,US,42.2506,-75.833,32.83,75,100,4.61,overcast clouds
221,Parkes,AU,-33.1333,148.1833,77.36,34,60,6.31,broken clouds
222,Carnarvon,AU,-24.8667,113.6333,73.47,73,0,10.36,clear sky
223,Mercedes,AR,-34.6515,-59.4307,76.86,52,0,7.63,clear sky
224,Honningsvag,NO,70.9821,25.9704,27.97,80,100,26.73,overcast clouds
225,Sept-Iles,CA,50.2001,-66.3821,23.52,92,100,10.36,mist
226,Chokurdakh,RU,70.6333,147.9167,-43.78,100,97,5.66,overcast clouds
227,Esperance,AU,-33.8667,121.9,57.04,64,36,5.1,scattered clouds
228,Buenos Aires,AR,-34.6132,-58.3772,76.91,60,0,5.75,clear sky
229,Mount Isa,AU,-20.7333,139.5,78.57,73,3,0.0,clear sky
230,Katsuura,JP,35.1333,140.3,41.18,70,96,13.27,overcast clouds
231,Tommot,RU,58.9564,126.2925,-9.2,99,100,1.99,overcast clouds
232,Geraldton,AU,-28.7667,114.6,61.21,88,0,9.22,clear sky
233,Port Shepstone,ZA,-30.7414,30.455,71.46,85,0,7.09,clear sky
234,Zanjan,IR,36.6736,48.4787,21.97,81,3,4.97,clear sky
235,Tocopilla,CL,-22.092,-70.1979,70.65,67,15,9.71,few clouds
236,Datong,CN,40.0936,113.2914,21.67,47,100,3.76,overcast clouds
237,Betul,IN,21.9153,77.8961,61.92,51,42,2.55,scattered clouds
238,Fortuna,US,40.5982,-124.1573,63.86,72,0,11.5,clear sky
239,Udachnyy,RU,66.4167,112.4,-24.21,99,87,3.8,overcast clouds
240,Springbok,ZA,-29.6643,17.8865,71.8,30,0,4.05,clear sky
241,Muriti,TZ,-1.9833,32.9167,73.54,69,86,5.66,light rain
242,Tarsus,TR,36.9188,34.8784,51.67,94,95,7.36,overcast clouds
243,Chupa,RU,66.27,33.0549,18.82,96,98,5.01,overcast clouds
244,Natal,BR,-5.795,-35.2094,83.05,74,20,13.8,few clouds
245,Lucapa,AO,-8.4192,20.7447,65.68,93,100,1.61,overcast clouds
246,Ornes,NO,66.8689,13.7078,37.51,78,100,16.73,overcast clouds
247,Hasaki,JP,35.7333,140.8333,34.29,61,97,16.89,overcast clouds
248,Amapa,BR,1.0,-52.0,72.14,98,93,2.59,overcast clouds
249,Los Algarrobos,PA,8.5,-82.4333,84.61,66,40,9.22,scattered clouds
250,San Luis,AR,-33.295,-66.3356,82.0,30,0,5.82,clear sky
251,Bermejo,AR,-32.8833,-68.8,93.11,22,20,8.05,few clouds
252,Haines Junction,CA,60.7522,-137.5108,39.15,60,79,9.22,broken clouds
253,Anloga,GH,5.7947,0.8973,82.62,82,29,7.61,scattered clouds
254,Rantepao,ID,-2.9701,119.8978,68.11,94,100,2.13,overcast clouds
255,Vestmanna,FO,62.1564,-7.1664,32.92,80,75,29.93,snow
256,San Quintin,MX,30.4833,-115.95,68.05,27,3,8.52,clear sky
257,Krasnouralsk,RU,58.3638,60.0407,-1.48,99,98,2.8,overcast clouds
258,Andreapol,RU,56.6513,32.2664,22.46,97,100,5.84,overcast clouds
259,Fukue,JP,32.6881,128.8419,48.45,59,38,15.01,scattered clouds
260,Chute-Aux-Outardes,CA,49.1168,-68.399,25.11,86,100,12.66,light snow
261,Goderich,CA,43.7501,-81.7165,27.91,74,96,10.36,overcast clouds
262,Sol-Iletsk,RU,51.1631,54.9918,1.65,100,100,3.83,overcast clouds
263,Morgan City,US,29.6994,-91.2068,61.0,29,0,0.0,clear sky
264,Wewak,PG,-3.5534,143.6268,81.54,79,73,2.37,very heavy rain
265,Tungor,RU,53.3808,142.9564,15.13,93,100,19.33,light snow
266,Sorland,NO,67.667,12.6934,38.75,62,100,34.67,overcast clouds
267,Alibag,IN,18.6411,72.8792,71.67,76,62,7.23,broken clouds
268,Ukiah,US,39.1502,-123.2078,81.37,29,0,1.01,clear sky
269,Trincomalee,LK,8.5711,81.2335,79.11,67,100,12.95,overcast clouds
